accuracy	lr	epochs	modeDim	modelName
0.757	0.001	40	130	0.757_lr0.001_e40_d130
0.7574	0.001	70	52	0.7574_lr0.001_e70_d52
0.7576	0.01	80	156	0.7576_lr0.01_e80_d156
0.7578	0.001	50	130	0.7578_lr0.001_e50_d130
0.758	0.001	50	104	0.758_lr0.001_e50_d104
0.7582	0.01	40	52	0.7582_lr0.01_e40_d52
0.7582	0.01	40	104	0.7582_lr0.01_e40_d104
0.7586	0.01	70	52	0.7586_lr0.01_e70_d52
0.7586	0.01	30	130	0.7586_lr0.01_e30_d130
0.7588	0.01	40	26	0.7588_lr0.01_e40_d26
0.7588	0.01	40	156	0.7588_lr0.01_e40_d156
0.7594	0.001	40	104	0.7594_lr0.001_e40_d104
0.7598	0.001	80	78	0.7598_lr0.001_e80_d78
0.7598	0.001	60	156	0.7598_lr0.001_e60_d156
0.76	0.01	20	130	0.76_lr0.01_e20_d130
0.76	0.001	80	182	0.76_lr0.001_e80_d182
0.7602	0.001	60	104	0.7602_lr0.001_e60_d104
0.7604	0.01	60	182	0.7604_lr0.01_e60_d182
0.7604	0.001	70	182	0.7604_lr0.001_e70_d182
0.7606	0.01	30	78	0.7606_lr0.01_e30_d78
0.7608	0.01	70	182	0.7608_lr0.01_e70_d182
0.7608	0.001	80	130	0.7608_lr0.001_e80_d130
0.761	0.01	80	52	0.761_lr0.01_e80_d52
0.7614	0.01	50	156	0.7614_lr0.01_e50_d156
0.7622	0.001	50	156	0.7622_lr0.001_e50_d156
0.7624	0.01	80	104	0.7624_lr0.01_e80_d104
0.7626	0.001	40	156	0.7626_lr0.001_e40_d156
0.7628	0.001	50	182	0.7628_lr0.001_e50_d182
0.763	0.01	20	78	0.763_lr0.01_e20_d78
0.763	0.001	80	156	0.763_lr0.001_e80_d156
0.7632	0.001	70	104	0.7632_lr0.001_e70_d104
0.7636	0.001	40	182	0.7636_lr0.001_e40_d182
0.7642	0.01	50	130	0.7642_lr0.01_e50_d130
0.7646	0.01	70	156	0.7646_lr0.01_e70_d156
0.7648	0.001	70	156	0.7648_lr0.001_e70_d156
0.765	0.01	70	78	0.765_lr0.01_e70_d78
0.7652	0.01	60	52	0.7652_lr0.01_e60_d52
0.766	0.01	80	78	0.766_lr0.01_e80_d78
0.766	0.01	60	130	0.766_lr0.01_e60_d130
0.7662	0.01	50	78	0.7662_lr0.01_e50_d78
0.7664	0.01	50	104	0.7664_lr0.01_e50_d104
0.7682	0.01	40	78	0.7682_lr0.01_e40_d78
0.7708	0.001	60	182	0.7708_lr0.001_e60_d182
